airline,tweet_text,date,score,magnitude,user,retweet_count,likes_count,location,time_zone
Alaska Airlines Inc.,      Advertising to ghosts☠,2023-01-23 08:29:03+00:00,-0.2,0.2,zlownfantino1,0,0,Location not available,Time zone not available
Alaska Airlines Inc.,"Not much more time left for these beauties.  

       ",2023-01-23 07:42:46+00:00,0.5,0.5,KeithPDXAir,0,1,Location not available,Time zone not available
Alaska Airlines Inc.,,2023-01-23 06:15:20+00:00,,,tweeetbro,0,0,Location not available,Time zone not available
Alaska Airlines Inc., Oh look! You started your food service and you have run out of food in less than 7 rows of service in main cabin. SHOCKING.,2023-01-23 05:48:19+00:00,0.0,1.6,beekyd,0,0,Location not available,Time zone not available
Alaska Airlines Inc.,  What the 🤬,2023-01-23 05:44:10+00:00,-0.4,0.4,bergesonmt,0,0,Burien,Time zone not available
Alaska Airlines Inc.,  My flight delays tonight have been updated 8x so far. 😡 2:30am arrival home now 😡,2023-01-23 05:41:51+00:00,0.0,0.0,bergesonmt,0,0,Location not available,Time zone not available
Alaska Airlines Inc.," To be clear, I’m expecting you to come back and tell me what you guys are doing to compensate us not just send a DM to me saying “thanks for sharing your feedback” - I, along with several other people, are livid at the flippant attitude of everyone involved on behalf of Alaska.",2023-01-23 05:37:59+00:00,-0.7,0.7,beekyd,0,0,Location not available,Time zone not available
Alaska Airlines Inc.," I know this is a system error, but even our in flight infotainment system appears to be over this flight ",2023-01-23 05:32:09+00:00,-0.7,0.7,NickThulin,0,0,Location not available,Time zone not available
Alaska Airlines Inc.,      I’m sure they would enjoy the business of the 50 people who watch the WNBA every season,2023-01-23 05:25:12+00:00,0.6,0.6,purplehippo2724,0,1,Location not available,Time zone not available
Alaska Airlines Inc.," Update: got to Sacramento, but haven’t been allowed to leave the plane since boarding at 3:30. No food, no snacks, just some water offered in 5 and a half hours. The crew is doing the best they can, are incredibly nice and empathetic, but  is not winning today.",2023-01-23 05:10:23+00:00,-0.4,1.3,NickThulin,0,1,Location not available,Time zone not available
Alaska Airlines Inc.,Weekend 🧹 over Kenai Brown Bears further extends the Wolverines lead in the  Club 49 Cup Standings.  Next weekend's match up is against Fairbanks Ice Dogs at The Ben!  Tickets on sale at  ,2023-01-23 05:10:14+00:00,0.1,0.7,anchoragewolve1,0,3,Location not available,Time zone not available
Alaska Airlines Inc., Can you fly a plane?,2023-01-23 05:01:52+00:00,0.0,0.0,jcrumpf1,0,0,Location not available,Time zone not available
Alaska Airlines Inc.,"Seems like about 1/4 of my  flights are having delays due to maintenance issues including tonight’s. Never had this before. Hope they improve ops, b/c I’m back to heavy travel.",2023-01-23 04:56:44+00:00,-0.4,1.2,The_Yoney,0,1,Location not available,Time zone not available
Alaska Airlines Inc.,"Hey , you suck.",2023-01-23 04:56:22+00:00,-0.9,0.9,jcrumpf1,0,0,Location not available,Time zone not available
Alaska Airlines Inc., It’s great I get 2500 miles if my bag is late. Why do I only get 4000 if you lose it completely?,2023-01-23 04:54:22+00:00,0.0,1.6,usna92,0,0,Location not available,Time zone not available
Alaska Airlines Inc.,,2023-01-23 04:40:15+00:00,,,urbanjj2717,0,0,Location not available,Time zone not available
Alaska Airlines Inc.,,2023-01-23 04:38:35+00:00,,,urbanjj2717,0,0,Location not available,Time zone not available
Alaska Airlines Inc.," I have been a loyal member with Alaska for years as I have status, however I will no longer give my business to a company who devalues their customers like this. It was so unprofessional to say the least.",2023-01-23 04:32:01+00:00,-0.9,1.8,ashleylynne1110,0,1,Location not available,Time zone not available
Alaska Airlines Inc.,"  to then move a passenger who paid for coach in 6F to 1C. This passenger who was seated in coach had no idea why he was being moved to first class, as I paid for first &amp; he didn’t. He even offered me his seat in First but the gate agent said no as I had to sit in coach",2023-01-23 04:31:58+00:00,-0.5,1.7,ashleylynne1110,0,0,Location not available,Time zone not available
Alaska Airlines Inc.," However, upon getting settled in my seat (1C) on the new delayed flight (4 hrs later), a new gate agent came on the plane after everyone was boarded and told me I had to move back to coach as she did not understand why I was booked in first. This gate agent proceeded",2023-01-23 04:31:48+00:00,-0.5,1.1,ashleylynne1110,0,0,Location not available,Time zone not available
Alaska Airlines Inc.," unbelievable. After my connecting flight was delayed, causing me to wait almost 4 hours for the next flight, the Alaska gate agent from my connecting flight to Seattle placed me in first class as I was originally booked and paid for first class on my original flight.",2023-01-23 04:31:45+00:00,0.0,1.5,ashleylynne1110,0,0,Location not available,Time zone not available
Alaska Airlines Inc.,Sweet send-off with a warm  chip  right before landing at  Nice touch  😊👏         ,2023-01-23 03:58:21+00:00,0.1,0.1,diprajha,0,3,Los Angeles,Time zone not available
Alaska Airlines Inc., Offer even the free BS pretzels,2023-01-23 03:47:34+00:00,0.2,0.2,beekyd,0,1,Location not available,Time zone not available
Alaska Airlines Inc., I don’t care what caused the delay. What matters is that you guys have not served an thing besides 2 rounds of water,2023-01-23 03:46:52+00:00,-0.5,1.1,beekyd,0,1,Location not available,Time zone not available
Alaska Airlines Inc.,  Man that was really well written and fun to read!  Great job Grace and great job to the author of the story!,2023-01-23 03:20:27+00:00,0.9,1.8,Eric99737,0,0,Location not available,Time zone not available
Alaska Airlines Inc., We have been on this plane since 3:20 and it’s 7:20 right now. Pilot said another 30 mins or so to Sacramento and then another 40 to refuel. This has to be a effing joke.,2023-01-23 03:13:20+00:00,-0.4,1.2,beekyd,0,1,Location not available,Time zone not available
Alaska Airlines Inc.,,2023-01-23 03:08:23+00:00,,,beekyd,0,0,Location not available,Time zone not available
Alaska Airlines Inc.," Sure thing, appreciate you listening.",2023-01-23 03:00:27+00:00,0.9,0.9,NickThulin,0,0,Location not available,Time zone not available
Alaska Airlines Inc., 🙏🙏 Thank you!!,2023-01-23 02:55:03+00:00,0.9,0.9,MrsBeatrixVee,0,0,Los Angeles,Time zone not available
Alaska Airlines Inc., Thanks that is not very helpful and does not address the safety issue that  has created for my family.,2023-01-23 02:54:26+00:00,-0.7,0.7,hallie_grace,0,0,Location not available,Time zone not available
Alaska Airlines Inc.,Wait so the flight is delayed 3 hours which we spend entirely on the plane with ONE service round of water. And we get in the air and you’re telling me you may only be able to provide water again only? Shame on you ,2023-01-23 02:53:31+00:00,-0.7,2.3,beekyd,0,1,Location not available,Time zone not available
Alaska Airlines Inc., I get the weather issue. The problem is the lack of communication. We were boarded and sat on a plane for 2+ hours with very few updates. The crew at one point said they had no idea what was going on. Haven’t even been informed when we’ll arrive at Seattle,2023-01-23 02:50:44+00:00,-0.6,3.1,NickThulin,0,0,Location not available,Time zone not available
Alaska Airlines Inc.,"Dear  when did LAX lounge start announcing every little issue at volume 10? If folks can't remember to leave when their plane boards, or ask about a missing hat, that's their own fault. I pay for Lounge+ to avoid the announcements, there's been 4 in less than an hour.",2023-01-23 02:44:39+00:00,-0.4,1.2,MrsBeatrixVee,0,0,Los Angeles,Time zone not available
Alaska Airlines Inc.,"Update: we’ve been onboard this  plane for long enough to watch an entire american football game, and we’ve yet to take off 🤪 ",2023-01-23 02:38:52+00:00,-0.3,0.3,NickThulin,0,0,Location not available,Time zone not available
Alaska Airlines Inc.,"      Guaranteed bookings from teams. Social media, in arena, and other advertising. Being the 'official airline' of the local team for a fan base that is, imo, more likely to support sponsors that are actually invested in the welfare of the players. Makes dollars and sence",2023-01-23 02:34:28+00:00,0.2,1.2,MikeBlastoff,0,0,Wilsonville,Time zone not available
Alaska Airlines Inc.," Yes, an employee at the airport did with us. This is really such a huge bummer and has created an impossible situation - we do not currently have a car seat to safely leave the airport with our child.",2023-01-23 02:27:46+00:00,-0.3,0.9,hallie_grace,0,0,Location not available,Time zone not available
Alaska Airlines Inc.,Got to Cabo and  managed to leave our bags in California - including Iona’s car seat + my breast pump soooo that is a super cool way to start this vacation!!!!,2023-01-23 02:18:54+00:00,0.9,0.9,hallie_grace,0,0,Location not available,Time zone not available
Alaska Airlines Inc.,"This was over an hour ago, and still no progress in moving toward a runway.  not doing a great job communicating delays and expected timelines. ",2023-01-23 02:14:50+00:00,-0.8,1.7,NickThulin,0,0,Location not available,Time zone not available
Alaska Airlines Inc.,"Walla Walla Regional Airport lands new, faster  jet service. Coverage from Hannah McIntyre at the .  ",2023-01-23 01:30:00+00:00,0.2,0.5,ghalling,0,1,Location not available,Time zone not available
Alaska Airlines Inc.,      Marketing? No one cares about that crap league man. It's why it's a total waste of NBA money.,2023-01-23 01:26:46+00:00,-0.5,1.7,Dirdydickdalem1,0,0,Location not available,Time zone not available
Alaska Airlines Inc.," On my Jan 28 flight from SEA to PVR AS1410, will I be able to watch the NFC championship game at 12pm PST?",2023-01-23 01:23:33+00:00,0.0,0.0,Whitman1977,0,0,Location not available,Time zone not available
Alaska Airlines Inc.,  morgan has been practicing hasn’t he,2023-01-23 01:22:06+00:00,0.0,0.0,shadyladycakes,0,1,Location not available,Time zone not available
Alaska Airlines Inc.,Wheels up 🛫 on  out of  this evening 🌅 ,2023-01-23 01:20:19+00:00,-0.4,0.4,RedmondRidgeEWx,1,13,Location not available,Time zone not available
Alaska Airlines Inc.,      The frugalness of most American travelers leads to most airlines rarely being impressively profitable.,2023-01-23 01:19:50+00:00,-0.8,0.8,Draymond1978,0,1,Location not available,Time zone not available
Alaska Airlines Inc.,  Hey  help make this happen! ,2023-01-23 01:01:51+00:00,0.1,0.1,TomOnNWSports,0,0,Location not available,Time zone not available
Alaska Airlines Inc.," hey friends, sent a DM but trying to figure out what’s going on for Flight 1150. First we were rerouting for fuel in Sacramento, then cancelled, now diverted? We were supposed to take off an hour ago. Not mad but lots of conflicting information",2023-01-23 01:01:08+00:00,-0.5,2.2,elambferro,0,0,Location not available,Time zone not available
Alaska Airlines Inc., what is going on with bags in DFW from flight 576 tonight? Been a while and no bags yet,2023-01-23 00:52:12+00:00,-0.3,0.7,flypig687,0,0,Location not available,Time zone not available
Alaska Airlines Inc.,  It’s soooooooo annoying!!! I hate it!,2023-01-23 00:35:51+00:00,-0.9,1.8,BridgetMaloney,0,1,Location not available,Time zone not available
Alaska Airlines Inc.,  Some crazy fun Globetrotters shots today. Eb with the behind the back win.,2023-01-23 00:10:22+00:00,0.4,1.0,DaveWritesHere,0,0,Location not available,Time zone not available
Alaska Airlines Inc., How about some rebate of my monthly internet fee.  It sucks to pay for a month and not get to use it. 🤓,2023-01-23 00:03:49+00:00,-0.1,1.3,trepanich,0,0,Location not available,Time zone not available
Alaska Airlines Inc.,"Geekie &amp; Ebs leads Team Driedgs to victory in the Breakaway Challenge, pres. by ! ",2023-01-23 00:02:22+00:00,0.3,0.6,SeattleKraken,17,216,Location not available,Time zone not available
Alaska Airlines Inc., happy to be on a new airplane.  AS710 sea to Den. A heads up about no internet would sure be nice (especially since I buy a monthly pass).,2023-01-22 23:59:55+00:00,0.3,1.1,trepanich,0,0,Location not available,Time zone not available
Alaska Airlines Inc., I sent a DM,2023-01-22 23:48:15+00:00,-0.1,0.1,iamFNK,0,0,Location not available,Time zone not available
Alaska Airlines Inc.,Great job  after a 5 hour delay to fix the lavatories we are now sitting on the tarmac for another 30 minutes…and we can’t use the lavatories on the ground. This feel undignified.,2023-01-22 23:29:58+00:00,-0.3,0.7,ChrisMarshalltx,0,0,Location not available,Time zone not available
Alaska Airlines Inc.,Hey  stuck in San Diego trying to get home to Seattle. Fix it,2023-01-22 23:23:26+00:00,-0.7,1.4,iamFNK,0,0,Location not available,Time zone not available
Alaska Airlines Inc.,"First time flying  since switching to  3 years ago. Flight to was delayed 2 hours after I got through security and now a least another half hour due to a broken plane at the gate. Yup, that's why I left.",2023-01-22 23:15:24+00:00,-0.2,1.7,XORRO_,0,0,Location not available,Time zone not available
Alaska Airlines Inc.," the last time i shared my confirmation code i was told my claim was still pending review which actually doesn’t give me any new info.
it’s been an insane turnaround time on such a ridiculous scenario that continues to be unaddressed",2023-01-22 22:53:21+00:00,-0.4,0.9,nadia_imafidon,0,1,Location not available,Time zone not available
Alaska Airlines Inc.,  This. They don’t prioritize the bags anymore even with the tags and status.,2023-01-22 22:52:46+00:00,-0.3,0.7,realwhiskydave,0,0,Location not available,Time zone not available
